villes,cat,cat2,nbr_auto,nbr_auto_1000hab,pop,Auto_12,Auto_14,Auto_15,Auto_16,Auto_17,Auto_18,tp_2012,tp_2014,tp_2015,tp_2016,tp_2017,tp_2018,douce_2012,douce_2014,douce_2015,douce_2016,douce_2017,douce_2018
Zurich_ville,Zurich,Ville-centre,144822.20508,353.88,409 241,26.4,26.1,25.4,25.1,23.9,23.8,65.3,65.2,66.3,66.3,67,67.1,8.2,8.7,8.3,8.6,9.1,9.2
Zurich_agglo,Zurich,Agglomeration,695774.01702,508.22,1 369 041,44.8,44.4,44.5,43.5,43.3,42.9,45.4,45.5,46.1,46.5,46.8,47,9.9,10.1,9.4,10,9.9,10.1
Berne_ville,Berne,Ville-centre,52024.67634,388.83,133 798,29.2,29.5,28.6,28.3,27.6,26.5,58.5,58.6,58.7,58.6,59.4,60.2,12.3,11.9,12.6,13.1,13,13.3
Berne_agglo,Berne,Agglomeration,199540.16425,476.77,418 525,41.9,43.1,41.6,41.9,41.9,40,44.8,45.1,45.3,45.2,45.5,47,13.3,11.9,13.1,12.9,12.6,13
Lucerne_ville,Lucerne,Ville-centre,36676.84857,450.57,81 401,37.6,37.3,37.6,38.2,36.1,36.1,47.9,48.4,46.6,47.2,48.5,48.6,14.5,14.3,15.8,14.6,15.4,15.3
Lucerne_agglo,Lucerne,Agglomeration,111744.1497,487.1,229 407,53.1,51.5,52.7,53.7,53,52.9,33.4,34.5,33.3,32.5,32.8,33.7,13.5,14,14,13.8,14.2,13.5
Bale_ville,Bale,Ville-centre,58408.75215,340.55,171 513,26.4,24.9,23.8,23.7,21.5,22.9,55.3,55.3,56.4,55.9,56.9,55.6,18.3,19.8,19.8,20.4,21.6,21.5
Bale_agglo,Bale,Agglomeration,252890.29848,461.68,547 761,41.5,40.6,40,40.6,38,39.3,41,40.8,42.3,41.3,43.1,41.5,17.5,18.6,17.7,18.1,18.9,19.3
St-Gall_ville,St-Gall,Ville-centre,34299.82674,454.17,75 522,46.1,46.8,47.2,45,45.9,44.3,42.9,41.4,41.2,43,41.8,44.3,11,11.8,11.6,11.9,12.3,11.4
St-Gall_agglo,St-Gall,Agglomeration,84876.85514,508.97,166 762,55.6,55.8,56.8,54.4,55.6,55,31.7,31.5,30.5,32.2,31.6,32.5,12.6,12.7,12.6,13.4,12.9,12.6
Lugano_ville,Lugano ,Ville-centre,39088.81122,615.63,63 494,61.1,61.6,62.4,60.3,62.2,58.7,26.6,26.8,26,26.9,25,28.8,12.4,11.6,11.5,12.8,12.7,12.5
Lugano_agglo,Lugano ,Agglomeration,96510.89189,638.27,151 207,69.9,68.9,68.6,68.7,67.9,65.7,19,20.1,20.2,20.1,19.8,22.6,11.1,11,11.1,11.2,12.2,11.8
Lausanne_ville,Lausanne,Ville-centre,51974.08385,374.17,138 905,40.8,40.8,40.5,39.7,40.5,37.5,50,50.1,51,51.6,50.4,52.8,9.1,9.1,8.5,8.7,9.1,9.8
Lausanne_agglo,Lausanne ,Agglomeration,212410.75631,504.83,420 757,55.7,55.3,55.5,54.7,54.9,53,35.5,36,36.4,36.9,36.6,38.3,8.7,8.7,8.1,8.4,8.5,8.8
Geneve_ville,Geneve,Ville-centre,75159.37396,374.77,200 548,31.6,31,29.1,28.6,27.2,26.4,50.6,52.3,53,53.5,54.9,55.8,17.8,16.8,17.9,17.9,17.9,17.8
Geneve_agglo,Geneve,Agglomeration,287456.9712,485.52,592 060,44.6,43.7,42.5,42.1,40.9,40.2,40.1,41.8,42.1,42.3,43.5,44.5,15.3,14.6,15.4,15.6,15.6,15.4
