villes,dis_2014,dis_2015,dis_2016,dis_2017,dis_2018,dur_2014,dur_2015,dur_2016,dur_2017,dur_2018,duree_moy_14_18,dist_moy_14_19,r2014,r2015,r2016,r2017,r2018
Zurich_ville,19.3,19.1,18.9,19.6,19.4,40.7,40.4,40.3,40.9,40.7,40.6,19.26,0.47,0.47,0.47,0.48,0.48
Zurich_agglo,18.7,19,18.8,19.1,19.2,37.1,37.1,37,37.3,37.7,37.24,18.96,0.5,0.51,0.51,0.51,0.51
Berne_ville,22.3,21.4,22.1,22.7,22.2,39.2,37.9,38.7,39.4,38.9,38.82,22.14,0.57,0.56,0.57,0.58,0.57
Berne_agglo,21.9,21.1,21.9,22.2,21.9,37.3,36.2,36.9,37.6,37.2,37.04,21.8,0.59,0.58,0.59,0.59,0.59
Lucerne_ville,16.5,16.4,15.9,16.1,17.1,36,35.4,35.1,35.7,36.2,35.68,16.4,0.46,0.46,0.45,0.45,0.47
Lucerne_agglo,17.4,17.8,17.4,17.5,18.4,34.5,34.2,33.6,34.3,34.8,34.28,17.7,0.5,0.52,0.52,0.51,0.53
Bale_ville,15.4,14.3,15,15.9,15.3,35.8,34.3,35,35.5,35.8,35.28,15.18,0.43,0.42,0.43,0.45,0.43
Bale_agglo,16.1,15.7,16.6,16.9,16.6,33.4,32.9,33.8,34.1,34.3,33.7,16.38,0.48,0.48,0.49,0.5,0.48
St-Gall_ville,16.9,16.4,16.4,16.6,17.3,32.6,32.2,32.6,32.1,33.3,32.56,16.72,0.52,0.51,0.5,0.52,0.52
St-Gall_agglo,16.5,16.2,16.4,16.3,17.1,31.2,30.6,30.6,30.5,31.3,30.84,16.5,0.53,0.53,0.54,0.53,0.55
Lugano_ville,11.3,11.6,11.4,11.8,12.3,31.6,30.5,30.4,31.2,32.4,31.22,11.68,0.36,0.38,0.38,0.38,0.38
Lugano_agglo,13.3,13.3,12.9,13.9,14.4,31.7,30.6,30.3,31.3,32.4,31.26,13.56,0.42,0.43,0.43,0.44,0.44
Lausanne_ville,18.9,19.1,19.1,18.6,18.6,36.8,35.8,36.8,36.9,37.9,36.84,18.86,0.51,0.53,0.52,0.5,0.49
Lausanne_agglo,20.8,20.6,20.9,20.4,20.5,35,34.6,35.4,35.6,36.1,35.34,20.64,0.59,0.6,0.59,0.57,0.57
Geneve_ville,12.4,11.7,11.6,11.4,12.3,36.7,35.5,35.3,36.5,37.2,36.24,11.88,0.34,0.33,0.33,0.31,0.33
Geneve_agglo,15.2,14.7,14.7,14.6,14.8,36,34.9,35,36,36.5,35.68,14.8,0.42,0.42,0.42,0.41,0.41
